Pair,Entry Time,Exit Time,Alloc,EntryZ,ZScale,Trade Return,Trade Costs,Slippage,Alpha PnL,Realized PnL,Capital After
BRSAN-KCAER,2023-03-09,2023-06-06,186636.32581428543,2.100916296027634,1.4006108640184227,-0.964585165854459,149.30906065142838,74.65453032571419,-180026.6312900394,-180250.59488101653,2169120.678086411
CCOLA-ODAS,2021-03-15,2021-06-04,150731.04323054288,2.989255965692145,1.9928373104614296,-0.8342683715957502,120.58483458443432,60.29241729221716,-125750.14198487364,-125931.01923675028,1239559.167251763
BRSAN-KCAER,2023-09-07,2023-09-28,192963.5053214072,-2.133109780919916,1.422073187279944,-0.6257985628123914,154.37080425712574,77.18540212856287,-120756.28430537783,-120987.84051176354,2740443.27431315
EKGYO-SASA,2020-07-22,2020-10-16,116085.21776131848,-2.043994015298741,1.3626626768658274,-0.5915207913584783,92.8681742090548,46.4340871045274,-68666.8198751964,-68806.12213650998,1374139.1975242957
REEDR-TOASO,2024-05-07,2024-05-28,293328.10886494746,-1.7277528370587962,1.151835224705864,-0.5886538208330102,234.662487091958,117.331243545979,-172668.7120410725,-173020.70577171043,4432526.905367393
DOAS-EKGYO,2020-09-18,2020-11-23,97389.42346872253,1.6417809206348224,1.0945206137565482,-0.5600561522746195,77.91153877497801,38.955769387489006,-54543.54578013625,-54660.41308829872,1261931.6463204646
KOZAL-KRDMD,2023-02-24,2023-05-03,105832.43254171962,2.431260522947471,1.6208403486316474,-0.5406333646867163,84.6659460333757,42.33297301668785,-57216.54409800981,-57343.54301705987,2291318.789274375
SASA-TTKOM,2021-02-23,2021-03-24,151359.1714227199,3.161566826676685,2.0,-0.4457865163293218,121.08733713817593,60.54366856908796,-67473.87774302695,-67655.50874873422,1214599.5797878304
DOAS-SASA,2020-10-21,2020-12-08,162467.11766295452,3.057165701062087,2.0,-0.4402371702311521,129.9736941303636,64.9868470651818,-71524.06413555073,-71719.02467674628,1195008.0117751074
TSKB-ZOREN,2020-10-19,2020-11-17,117020.42184577232,3.6955368821183594,2.0,-0.4325376928534862,93.61633747661789,46.808168738308936,-50615.74328191206,-50756.167788126986,1313968.4400302442
